Listing_uid,original_type,winner,reason,score_house,score_apartment,score_commercial,score_land,max_score,winner_margin,tie_flag,top_categories,changed,text_sample
csmgc-20260415-0028,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,sun island; imagina vivir en este departamento de 2 habitaci sun island; imagina vivir en este depar
csmgc-20260415-0029,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,clear sky; imagina vivir en este departamento de 2 habitacio clear sky; imagina vivir en este depart
csmgc-20260415-0030,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,sun island; imagina vivir en este departamento de 4 habitaci sun island; imagina vivir en este depar
csmgc-20260415-0031,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,emerald city; imagina vivir en este departamento de 1 habita emerald city; imagina vivir en este dep
csmgc-20260415-0032,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,enchanted forest; imagina vivir en este departamento de 1 ha enchanted forest; imagina vivir en este
csmgc-20260415-0033,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,golden hills; imagina vivir en este departamento de 3 habita golden hills; imagina vivir en este dep
csmgc-20260415-0034,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,enchanted forest; imagina vivir en este departamento de 3 ha enchanted forest; imagina vivir en este
csmgc-20260415-0035,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,golden hills; imagina vivir en este departamento de 3 habita golden hills; imagina vivir en este dep
csmgc-20260415-0036,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,sun island; imagina vivir en este departamento de 1 habitaci sun island; imagina vivir en este depar
csmgc-20260415-0037,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,cielo claro; imagina vivir en este departamento de 4 habitac cielo claro; imagina vivir en este depa
csmgc-20260415-0038,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,north wind; imagina vivir en este departamento de 2 habitaci north wind; imagina vivir en este depar
csmgc-20260415-0039,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,secret garden; imagina vivir en este departamento de 3 habit secret garden; imagina vivir en este de
csmgc-20260415-0040,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,celestial summit; imagina vivir en este departamento de 3 ha celestial summit; imagina vivir en este
csmgc-20260415-0041,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,celestial summit; imagina vivir en este departamento de 3 ha celestial summit; imagina vivir en este
csmgc-20260415-0042,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,ciudad esmeralda; imagina vivir en este departamento de 2 ha ciudad esmeralda; imagina vivir en este
csmgc-20260415-0043,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,ciudad esmeralda; imagina vivir en este departamento de 3 ha ciudad esmeralda; imagina vivir en este
csmgc-20260415-0044,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,puerto escondido; imagina vivir en este departamento de 4 ha puerto escondido; imagina vivir en este
csmgc-20260415-0045,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,the fortress; imagina vivir en este departamento de 4 habita the fortress; imagina vivir en este dep
csmgc-20260415-0046,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,light of the forest; imagina vivir en este departamento de 4 light of the forest; imagina vivir en e
