Listing ID,title,neighborhood,bedrooms,bathrooms,area,area_unit,area_m2,AT,AT_unit,price,currency,transaction,property_type,agency,date,notes,source_type,ingestion_id,pipeline_version,source_file,source_agency,year_month,dedup_key,dedup_group_id,dedup_role
12,Ciudad Esmeralda; Imagina vivir en este departamento de 3 ha,Ciudad Esmeralda,3,,133,m²,,,,149099.0,USD,Sale,House,Casamagica,2026-04-15,Ciudad Esmeralda; Imagina vivir en este departamento de 3 habitaciones; con 133 M2 de lujo; USD 149099 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,023e4671114d448a96656ae170495a37,2,CANONICAL
13,Hidden Harbor; Imagina vivir en este departamento de 4 habit,Hidden Harbor,4,,146,m²,,,,54300.0,USD,Sale,House,Casamagica,2026-04-15,Hidden Harbor; Imagina vivir en este departamento de 4 habitaciones; con 146 M2 de lujo; USD 54300 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,d3777b4279dfc24f194a975a1c119dee,37,CANONICAL
14,Ciudad Esmeralda; Imagina vivir en este departamento de 1 ha,Ciudad Esmeralda,1,,93,m²,,,,7155413.0,USD,Sale,House,Casamagica,2026-04-15,Ciudad Esmeralda; Imagina vivir en este departamento de 1 habitaciones; con 93 M2 de lujo; USD 7155413 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,555a23d53146092f6cc3a8072029750e,16,CANONICAL
15,The Fortress; Imagina vivir en este departamento de 2 habita,The Fortress,2,,70,m²,,,,220811.0,USD,Sale,House,Casamagica,2026-04-15,The Fortress; Imagina vivir en este departamento de 2 habitaciones; con 70 M2 de lujo; USD 220811 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,14e88b5053142ba3f679f70cd32e5610,3,CANONICAL
16,Magic Mountains; Imagina vivir en este departamento de 2 hab,Magic Mountains,2,,51,m²,,,,8842878.0,USD,Sale,House,Casamagica,2026-04-15,Magic Mountains; Imagina vivir en este departamento de 2 habitaciones; con 51 M2 de lujo; USD 8842878 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,0211ff84d2c68870aded8a0e3edeae30,1,CANONICAL
17,Square Circle; Imagina vivir en este departamento de 1 habit,Square Circle,1,,184,m²,,,,5328682.0,USD,Sale,House,Casamagica,2026-04-15,Square Circle; Imagina vivir en este departamento de 1 habitaciones; con 184 M2 de lujo; USD 5328682 ; Perfecto para aquellos que buscan comodidad y conveniencia. *Lago Sereno; Imagina vivir en este departamento de 2 habitaciones; con 114 M2 de lujo; USD 467984 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,3a706de3097b538bfc95c3955f56f9f8,12,CANONICAL
18,Puerto Escondido; Imagina vivir en este departamento de 4 ha,Puerto Escondido,4,,178,m²,,,,2782916.0,USD,Sale,House,Casamagica,2026-04-15,Puerto Escondido; Imagina vivir en este departamento de 4 habitaciones; con 178 M2 de lujo; USD 2782916 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,421cdc96e861e06ddffc4f8d8539ea0a,13,CANONICAL
19,Amanecer Dorado; Imagina vivir en este departamento de 4 hab,Amanecer Dorado,4,,154,m²,,,,57456.0,USD,Sale,House,Casamagica,2026-04-15,Amanecer Dorado; Imagina vivir en este departamento de 4 habitaciones; con 154 M2 de lujo; USD 57456 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,be85c8c8a9d68a901345ef85cc14ea64,31,CANONICAL
20,Lago Sereno; Imagina vivir en este departamento de 4 habitac,Lago Sereno,4,,46,m²,,,,4309749.0,USD,Sale,House,Casamagica,2026-04-15,Lago Sereno; Imagina vivir en este departamento de 4 habitaciones; con 46 M2 de lujo; USD 4309749 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,018b3d996ab239fcb717d6e3b9cb6e06,0,CANONICAL
21,Cascada Azul; Imagina vivir en este departamento de 3 habita,Cascada Azul,3,,92,m²,,,,8220122.0,USD,Sale,House,Casamagica,2026-04-15,Cascada Azul; Imagina vivir en este departamento de 3 habitaciones; con 92 M2 de lujo; USD 8220122 ; Perfecto para aquellos que buscan comodidad y conveniencia. Roca Azul; Imagina vivir en este departamento de 3 habitaciones; con 145 M2 de lujo; USD 2430307 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,d37ba9f6bfc80a5f4af90c4c96061949,38,CANONICAL
22,Residencial Chessboard; Imagina vivir en este departamento d,RES Chessboard,3,,74,m²,,,,3633233.0,USD,Sale,House,Casamagica,2026-04-15,Residencial Chessboard; Imagina vivir en este departamento de 3 habitaciones; con 74 M2 de lujo; USD 3633233 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,c56ca5ee0c0e854eb3f2e43a947d3113,33,CANONICAL
23,Amanecer Dorado; Imagina vivir en este departamento de 2 hab,Amanecer Dorado,2,,169,m²,,,,8799759.0,USD,Sale,House,Casamagica,2026-04-15,Amanecer Dorado; Imagina vivir en este departamento de 2 habitaciones; con 169 M2 de lujo; USD 8799759 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,25af8e2617e26c49c7aa702875e9cdc8,8,CANONICAL
24,Emerald City; Imagina vivir en este departamento de 1 habita,Emerald City,1,,149,m²,,,,1426159.0,USD,Sale,House,Casamagica,2026-04-15,Emerald City; Imagina vivir en este departamento de 1 habitaciones; con 149 M2 de lujo; USD 1426159 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,77a561706db8f6cbb49c7a4cae0e864c,20,CANONICAL
25,Golden Dawn; Imagina vivir en este departamento de 3 habitac,Golden Dawn,3,,55,m²,,,,172359.0,USD,Sale,House,Casamagica,2026-04-15,Golden Dawn; Imagina vivir en este departamento de 3 habitaciones; con 55 M2 de lujo; USD 172359 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,caa45885b66267384ff38ca10530b809,35,CANONICAL
26,Emerald City; Imagina vivir en este departamento de 3 habita,Emerald City,3,,159,m²,,,,8341583.0,USD,Sale,House,Casamagica,2026-04-15,Emerald City; Imagina vivir en este departamento de 3 habitaciones; con 159 M2 de lujo; USD 8341583 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,b79ae6eef01fd65451da32a8982bfbed,29,CANONICAL
27,Roca Azul; Imagina vivir en este departamento de 3 habitacio,Roca Azul,3,,184,m²,,,,5317309.0,USD,Sale,House,Casamagica,2026-04-15,Roca Azul; Imagina vivir en este departamento de 3 habitaciones; con 184 M2 de lujo; USD 5317309 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,f92934dfe7074cfe7f64141704b00743,44,CANONICAL
28,Nuncajamas; Imagina vivir en este departamento de 3 habitaci,Nuncajamas,3,,106,m²,,,,79945.0,USD,Sale,House,Casamagica,2026-04-15,Nuncajamas; Imagina vivir en este departamento de 3 habitaciones; con 106 M2 de lujo; USD 79945 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,e7ad1e8d1e71ce8ca34234ec0f6949d4,41,CANONICAL
29,Sun Island; Imagina vivir en este departamento de 2 habitaci,Sun Island,2,,100,m²,,,,305208.0,USD,Sale,House,Casamagica,2026-04-15,Sun Island; Imagina vivir en este departamento de 2 habitaciones; con 100 M2 de lujo; USD 305208 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,c8c16df97f2c4737daa7c247e2f7ffb6,34,CANONICAL
30,Clear Sky; Imagina vivir en este departamento de 2 habitacio,Clear Sky,2,,129,m²,,,,63486.0,USD,Sale,House,Casamagica,2026-04-15,Clear Sky; Imagina vivir en este departamento de 2 habitaciones; con 129 M2 de lujo; USD 63486 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,326565a20b222de6f2c931fc71d9a31b,10,CANONICAL
31,Sun Island; Imagina vivir en este departamento de 4 habitaci,Sun Island,4,,170,m²,,,,185325.0,USD,Sale,House,Casamagica,2026-04-15,Sun Island; Imagina vivir en este departamento de 4 habitaciones; con 170 M2 de lujo; USD 185325 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,23d9249787b952fd11253b33b7d02f39,6,CANONICAL
32,Emerald City; Imagina vivir en este departamento de 1 habita,Emerald City,1,,168,m²,,,,2966118.0,USD,Sale,House,Casamagica,2026-04-15,Emerald City; Imagina vivir en este departamento de 1 habitaciones; con 168 M2 de lujo; USD 2966118 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,a6cb6009d3f432553fcceb567d73734a,26,CANONICAL
33,Enchanted Forest; Imagina vivir en este departamento de 1 ha,Enchanted Forest,1,,78,m²,,,,180767.0,USD,Sale,House,Casamagica,2026-04-15,Enchanted Forest; Imagina vivir en este departamento de 1 habitaciones; con 78 M2 de lujo; USD 180767 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,9a425bc4a9885100f15e1a9b8277b562,24,CANONICAL
34,Golden Hills; Imagina vivir en este departamento de 3 habita,Golden Hills,3,,173,m²,,,,8400536.0,USD,Sale,House,Casamagica,2026-04-15,Golden Hills; Imagina vivir en este departamento de 3 habitaciones; con 173 M2 de lujo; USD 8400536 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,17d099a85dd5af8dd0f6bf6ea233d78c,4,CANONICAL
35,Enchanted Forest; Imagina vivir en este departamento de 3 ha,Enchanted Forest,3,,98,m²,,,,9785286.0,USD,Sale,House,Casamagica,2026-04-15,Enchanted Forest; Imagina vivir en este departamento de 3 habitaciones; con 98 M2 de lujo; USD 9785286 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,b4c6bca44e76cf975ae79ed7a8eb091d,28,CANONICAL
36,Golden Hills; Imagina vivir en este departamento de 3 habita,Golden Hills,3,,185,m²,,,,104247.0,USD,Sale,House,Casamagica,2026-04-15,Golden Hills; Imagina vivir en este departamento de 3 habitaciones; con 185 M2 de lujo; USD 104247 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,9f666edcb9aa31bf69e6e7b3a7708c32,25,CANONICAL
37,Sun Island; Imagina vivir en este departamento de 1 habitaci,Sun Island,1,,83,m²,,,,8469427.0,USD,Sale,House,Casamagica,2026-04-15,Sun Island; Imagina vivir en este departamento de 1 habitaciones; con 83 M2 de lujo; USD 8469427 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,d5ec97992d87caac99af8c9ddad957bc,39,CANONICAL
38,Cielo Claro; Imagina vivir en este departamento de 4 habitac,Cielo Claro,4,,42,m²,,,,8439321.0,USD,Sale,House,Casamagica,2026-04-15,Cielo Claro; Imagina vivir en este departamento de 4 habitaciones; con 42 M2 de lujo; USD 8439321 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,f8e4539cc08514b9b53923f0b7569811,43,CANONICAL
39,North Wind; Imagina vivir en este departamento de 2 habitaci,North Wind,2,,157,m²,,,,5459798.0,USD,Sale,House,Casamagica,2026-04-15,North Wind; Imagina vivir en este departamento de 2 habitaciones; con 157 M2 de lujo; USD 5459798 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,38f5cab63f7b2add32260921887adc59,11,CANONICAL
40,Secret Garden; Imagina vivir en este departamento de 3 habit,Secret Garden,3,,169,m²,,,,1678778.0,USD,Sale,House,Casamagica,2026-04-15,Secret Garden; Imagina vivir en este departamento de 3 habitaciones; con 169 M2 de lujo; USD 1678778 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,1add5f93258c360693740261f9f948c8,5,CANONICAL
41,Celestial Summit; Imagina vivir en este departamento de 3 ha,Celestial Summit,3,,46,m²,,,,8348685.0,USD,Sale,House,Casamagica,2026-04-15,Celestial Summit; Imagina vivir en este departamento de 3 habitaciones; con 46 M2 de lujo; USD 8348685 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,28c30be1e00df02aa2263ac79b269dae,9,CANONICAL
42,Celestial Summit; Imagina vivir en este departamento de 3 ha,Celestial Summit,3,,120,m²,,,,9910760.0,USD,Sale,House,Casamagica,2026-04-15,Celestial Summit; Imagina vivir en este departamento de 3 habitaciones; con 120 M2 de lujo; USD 9910760 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,cd7916f0a62c579092cf58d7f5c67f31,36,CANONICAL
43,Ciudad Esmeralda; Imagina vivir en este departamento de 2 ha,Ciudad Esmeralda,2,,59,m²,,,,362922.0,USD,Sale,House,Casamagica,2026-04-15,Ciudad Esmeralda; Imagina vivir en este departamento de 2 habitaciones; con 59 M2 de lujo; USD 293818 ; Perfecto para aquellos que buscan comodidad y conveniencia.* Montaas Mgicas; Imagina vivir en este departamento de 3 habitaciones; con 54 M2 de lujo; USD 362922 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,7897134c1bcac171706418f52ef8c468,21,CANONICAL
44,Ciudad Esmeralda; Imagina vivir en este departamento de 3 ha,Ciudad Esmeralda,3,,77,m²,,,,341231.0,USD,Sale,House,Casamagica,2026-04-15,Ciudad Esmeralda; Imagina vivir en este departamento de 3 habitaciones; con 77 M2 de lujo; USD 341231 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,daab3a199531adfeb7678ff529b6dffc,40,CANONICAL
45,Puerto Escondido; Imagina vivir en este departamento de 4 ha,Puerto Escondido,4,,58,m²,,,,8773342.0,USD,Sale,House,Casamagica,2026-04-15,Puerto Escondido; Imagina vivir en este departamento de 4 habitaciones; con 58 M2 de lujo; USD 8773342 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,f255db1cdcc53517daf441471a2ca1fa,42,CANONICAL
46,The Fortress; Imagina vivir en este departamento de 4 habita,The Fortress,4,,108,m²,,,,9601996.0,USD,Sale,House,Casamagica,2026-04-15,The Fortress; Imagina vivir en este departamento de 4 habitaciones; con 108 M2 de lujo; USD 9601996 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,b3327dc71e5bf54eee8033cef74333e3,27,CANONICAL
47,Light of the Forest; Imagina vivir en este departamento de 4,Light of the Forest,4,,112,m²,,,,4343342.0,USD,Sale,House,Casamagica,2026-04-15,Light of the Forest; Imagina vivir en este departamento de 4 habitaciones; con 112 M2 de lujo; USD 4343342 ; Perfecto para aquellos que buscan comodidad y conveniencia,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,459189eb0aaaa4d26236e69f1586043d,15,CANONICAL
