N°,NOMBRE DE BARRIO O COLONIA,neighborhood,CIUDAD,TIPO O COLONIA,SE CT O R,ZONIFICA CIÓN,approval_year,DICTAMEN / ACUERDO DE APROBACION,PARAMETROS  MINIMOS (APROBADOS EN DICTAMEN/ACUERDO)
1,BARRIO ABAJO,BARRIO ABAJO,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
2,CENTRO,CENTRO,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
3,EL JASMIN,EL JASMIN,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
4,EL OLVIDO,EL OLVIDO,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
5,FINLAY,FINLAY,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
6,GUAJOCO,GUAJOCO,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
7,GUANACASTE,GUANACASTE,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
8,LA CONCORDIA,LA CONCORDIA,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
9,LA HOYA,LA HOYA,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
10,LA MERCED,LA MERCED,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
11,LA MONCADA,LA MONCADA,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
12,LA PEDRERA,LA PEDRERA,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
13,LA PLAZUELA,LA PLAZUELA,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
14,LA RONDA,LA RONDA,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
15,LOS DOLORES,LOS DOLORES,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
16,13 DE FEBRERO,13 DE FEBRERO,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
17,ALTOS DE MIRAMESI,ALTOS DE MIRAMESI,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
18,BUENA VISTA NORTE,BUENA VISTA NORTE,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
19,BUENA VISTA SUR,BUENA VISTA SUR,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
20,BUENOS AIRES,BUENOS AIRES,TEGUCIGALPA,Barrio/Colonia,2,CH/R4,1999,"ACUERDO NO. 046-99 DE
FECHA 9 DE DICIEMBRE DE 1999 (PLANO Y
DICTAMEN).",R4=45M²/3.5ML
21,"COL LOMAS DEL
BOSQUE",COL LOMAS DEL BOSQUE,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
22,EL BOSQUE,EL BOSQUE,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
23,EL EDEN,EL EDEN,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
24,LA ALAMBRA,LA ALAMBRA,TEGUCIGALPA,Barrio/Colonia,2,R2,,,
25,LA CABAÑA,LA CABAÑA,TEGUCIGALPA,Barrio/Colonia,2,CH/R2,1950,"ACUERDO NO. 210 DE FECHA
1 DE ABRIL DE
1950 (PLANO). DICTAMEN No. 0146-1981   DE
FECHA 05 DE
MAYO DE 1981
(DOCUMENTO).",R3=120M²/7ML
26,LA FUENTE,LA FUENTE,TEGUCIGALPA,Barrio/Colonia,2,CH,,,
27,LA LEONA,LA LEONA,TEGUCIGALPA,Barrio/Colonia,2,CH,,,
28,LA LEONA DEL RINCON,LA LEONA DEL RINCON,TEGUCIGALPA,Barrio/Colonia,2,R4,2002,"DICTAMEN No. SCU-DM-AMDC 017-2003 DE
FECHA   6 DE MARZO DEL 2003 (PLANO Y DOCUMENTO).
ADEDUM NO.017-2002 DE FECHA   9 DE JULIO DEL
2002.",R4=45M²/3.5ML
29,LAS CANTERAS,LAS CANTERAS,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
30,LAS DELICIAS,LAS DELICIAS,TEGUCIGALPA,Barrio/Colonia,2,CH,,,
31,LINTON,LINTON,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
32,LOMAS DEL BOSQUE,LOMAS DEL BOSQUE,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
33,LOS MANGOS,LOS MANGOS,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
34,"MIRADOR DEL
BOSQUE",MIRADOR DEL BOSQUE,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
35,MIRAMESI,MIRAMESI,TEGUCIGALPA,Barrio/Colonia,2,CH/R4,,,
36,PUNTA CALIENTE,PUNTA CALIENTE,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
37,RES BUENA VISTA,RES BUENA VISTA,TEGUCIGALPA,Barrio/Colonia,2,R3,2005,"ADENDUM DE MODIFICACION No. 01 DE
FECHA 17 DE ENERO DEL 2005 SOLO
ADENDUM.",R3=120M²/7ML
38,SAN JOSE DE LA MONTAÑA,SAN JOSE DE LA MONTAÑA,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
39,ZARAGOZA,ZARAGOZA,TEGUCIGALPA,Barrio/Colonia,2,R4,2004,"REGISTRADO BAJO DICTAMEN No.
SCU/MD/AMDC
/053-2004 EN FECHA 20 DE AGOSTO DE 2004 (DICTAMEN).",R4=45M²/3.5ML
40,ZARAGOZA NORTE,ZARAGOZA NORTE,TEGUCIGALPA,Barrio/Colonia,2,R2,,,
41,ZARAGOZA SUR,ZARAGOZA SUR,TEGUCIGALPA,Barrio/Colonia,2,R2,,,
42,BARRIO NUEVA VIERA,BARRIO NUEVA VIERA,TEGUCIGALPA,Barrio/Colonia,3,R3,,,
43,CASAMATA,CASAMATA,TEGUCIGALPA,Barrio/Colonia,3,R3,,,
44,CONDOMINIOS VIERA,CONDOMINIOS VIERA,TEGUCIGALPA,Barrio/Colonia,3,R1,1961,"CONDOMINIOS VIERA DOCUMENTO DE ACUERDO No. 4934 APROBADO DE FECHA 15 DE ENERO DE 1990. SUB DIVISION DOCUMENTO DE DICTAMEN No. 016-88 DE
FECHA 09 DE FEBRERO DE 1988. PLANO DE ACUERDO No.
259 DE FECHA
07 DE
DICIEMBRE DE 1961.",R1=400M²/15ML
45,EL MANCHEN,EL MANCHEN,TEGUCIGALPA,Barrio/Colonia,3,R3,,,
46,JACARANDA,JACARANDA,TEGUCIGALPA,Barrio/Colonia,3,R3,2005,"DICTAMEN No. SCU-DM-AMDC 055-2005 DE
FECHA   6 DE SEPTIEMBRE DEL 2005
(DICTAMEN).",R3=120M²/7ML
47,JARDIN DE CASAMATA,JARDIN DE CASAMATA,TEGUCIGALPA,Barrio/Colonia,3,R3,,,
48,JARDIN LAS COLINAS,JARDIN LAS COLINAS,TEGUCIGALPA,Barrio/Colonia,3,R3,,,
49,"JARDIN LAS
MERCEDES",JARDIN LAS MERCEDES,TEGUCIGALPA,Barrio/Colonia,3,R3,,,
50,JARDIN SANTA ROSA,JARDIN SANTA ROSA,TEGUCIGALPA,Barrio/Colonia,3,R3,,,
51,LA CRUZ,LA CRUZ,TEGUCIGALPA,Barrio/Colonia,3,R3,,,
52,MEJIA,MEJIA,TEGUCIGALPA,Barrio/Colonia,3,R3,,,
53,NUEVA SANTA ROSA,NUEVA SANTA ROSA,TEGUCIGALPA,Barrio/Colonia,3,R3,,,
54,REFORMA,REFORMA,TEGUCIGALPA,Barrio/Colonia,3,R2,,,
55,RES. VIERA,RES. VIERA,TEGUCIGALPA,Barrio/Colonia,3,R3,,,
56,BARRIO SAN PABLO,BARRIO SAN PABLO,TEGUCIGALPA,Barrio/Colonia,3,R3,,,
57,SIRIA,SIRIA,TEGUCIGALPA,Barrio/Colonia,3,R3,,,
58,VIEJA SANTA ROSA,VIEJA SANTA ROSA,TEGUCIGALPA,Barrio/Colonia,3,R3,,,
59,VIERA,VIERA,TEGUCIGALPA,Barrio/Colonia,3,R1,1990,"DICTAMEN 010-
90 DE FECHA
19 DE ENERO
DE 1990 (DICTAMEN).",R1=400 M²/15ML
60,ARGENTINA,ARGENTINA,TEGUCIGALPA,Barrio/Colonia,4,R2,1976,"REGISTRADO BAJO EL No.215-76 DE FECHA 30DE AGOSTO DE
1976 (PLANO).",R2=200M²/10ML
61,AVENIDA LA PAZ,AVENIDA LA PAZ,TEGUCIGALPA,Barrio/Colonia,4,D1,,,
62,CAMPANA ARRIBA,CAMPANA ARRIBA,TEGUCIGALPA,Barrio/Colonia,4,R1,,,
63,CAMPANA O MAYA CENTRO,CAMPANA O MAYA CENTRO,TEGUCIGALPA,Barrio/Colonia,4,R1,,,
64,COL PARCALTAGUA,COL PARCALTAGUA,TEGUCIGALPA,Barrio/Colonia,4,D1,1985,"ACUERDO No. 704 DE FECHA
3 DE
DICIEMBRE DE 1985.",R1=400M²/15ML
65,EL CASTAÑO (LOS CASTANOS),EL CASTAÑO (LOS CASTANOS),TEGUCIGALPA,Barrio/Colonia,4,R1,,,
66,FINCA VALLADARES,FINCA VALLADARES,TEGUCIGALPA,Barrio/Colonia,4,R1,,,
67,FRATERNIDAD,FRATERNIDAD,TEGUCIGALPA,Barrio/Colonia,4,R3,,,
68,JARDIN NORMA,JARDIN NORMA,TEGUCIGALPA,Barrio/Colonia,4,R1,,,
69,JARDIN SONIA,JARDIN SONIA,TEGUCIGALPA,Barrio/Colonia,4,R1,,,
70,LA CAMPAÑA,LA CAMPAÑA,TEGUCIGALPA,Barrio/Colonia,4,R1,2003,"DICTAMEN No. 002-2003 DE
FECHA   20 ENERO DEL 2003
(DICTAMEN).",R1=400M²/15ML
71,LARA,LARA,TEGUCIGALPA,Barrio/Colonia,4,R1,,,
72,LARA NORTE,LARA NORTE,TEGUCIGALPA,Barrio/Colonia,4,R1,1953,"ACUERDO NO 122 EN FECHA
27 DE FEBRERO DE
1953",R1=400M²/15ML
73,LAS PALOMAS,LAS PALOMAS,TEGUCIGALPA,Barrio/Colonia,4,R1,,,
74,MATAMOROS,MATAMOROS,TEGUCIGALPA,Barrio/Colonia,4,R1,,,
75,PALMIRA,PALMIRA,TEGUCIGALPA,Barrio/Colonia,4,D3,1990,"DICTAMEN No. SCU-DM-AMDC 188-90 DE
FECHA 17 DE DICIEMBRE DE 1990
(DICTAMEN).",D3=120M²/7ML
76,PUEBLO NUEVO,PUEBLO NUEVO,TEGUCIGALPA,Barrio/Colonia,4,D3,,,
77,SABANAGRANDE,SABANAGRANDE,TEGUCIGALPA,Barrio/Colonia,4,D1,,,
78,SAN CARLOS,SAN CARLOS,TEGUCIGALPA,Barrio/Colonia,4,D3,,,
79,SAN FELIPE,SAN FELIPE,TEGUCIGALPA,Barrio/Colonia,4,D1,,,
80,SAN RAFAEL,SAN RAFAEL,TEGUCIGALPA,Barrio/Colonia,4,R1,,,
81,SAN RAFAEL HM,SAN RAFAEL HM,TEGUCIGALPA,Barrio/Colonia,4,R2,1991,"DICTAMEN No. SCU-DM-AMDC 102-91 DE
FECHA   22 DE
JULIO DE 1991 (DICTAMEN).",R2=200M²/10ML
82,CALIXTO,CALIXTO,TEGUCIGALPA,Barrio/Colonia,5,D3,,,
83,CENTRO DE RECREACION LA ISLA,CENTRO DE RECREACION LA ISLA,COMAYAGÜELA,Barrio/Colonia,5,AR/D3,,,
84,CERRO JUANA LAINEZ,CERRO JUANA LAINEZ,COMAYAGÜELA,Barrio/Colonia,5,AR,,,
85,ALTAMIRA,ALTAMIRA,COMAYAGÜELA,Barrio/Colonia,5,R1,1971,"ACUERDO No. #217 DE FECHA 14 DE JULIO DE
1971.(PLANO)",
86,EL CARMELO,EL CARMELO,TEGUCIGALPA,Barrio/Colonia,5,D3,,,
87,ESTADIO NACIONAL,ESTADIO NACIONAL,COMAYAGÜELA,Barrio/Colonia,5,AR,,,
88,GUADALUPE,GUADALUPE,COMAYAGÜELA,Barrio/Colonia,5,D3,,,
89,LA HOYA,LA HOYA,TEGUCIGALPA,Barrio/Colonia,5,D3,,,
90,MORAZAN,MORAZAN,COMAYAGÜELA,Barrio/Colonia,5,D3,,,
91,PAGODA,PAGODA,COMAYAGÜELA,Barrio/Colonia,5,D3,,,
92,PALERMO,PALERMO,TEGUCIGALPA,Barrio/Colonia,5,D3,,,
93,SELECTA,SELECTA,TEGUCIGALPA,Barrio/Colonia,5,D3,,,
94,ALTOS DE LA PRIMAVERA,ALTOS DE LA PRIMAVERA,COMAYAGÜELA,Barrio/Colonia,6,R3,,,
95,"ALTOS DE VILLA
ADELA",ALTOS DE VILLA ADELA,COMAYAGÜELA,Barrio/Colonia,6,R3,,,
96,CAMAGUARA,CAMAGUARA,COMAYAGÜELA,Barrio/Colonia,6,R3,,,
97,CAMPO SONIA,CAMPO SONIA,COMAYAGÜELA,Barrio/Colonia,6,R3,,,
98,CONCEPCION,CONCEPCION,COMAYAGÜELA,Barrio/Colonia,6,CH,,,
99,EL CALVARIO,EL CALVARIO,COMAYAGÜELA,Barrio/Colonia,6,CH/R4,,,
100,EL CENTRO (COMAYAGUELA),EL CENTRO (COMAYAGUELA),COMAYAGÜELA,Barrio/Colonia,6,CH,,,
101,EL SOCORRO,EL SOCORRO,COMAYAGÜELA,Barrio/Colonia,6,R3,,,
102,JUAN LINDO,JUAN LINDO,COMAYAGÜELA,Barrio/Colonia,6,R3,,,
103,LA CHIVERA,LA CHIVERA,COMAYAGÜELA,Barrio/Colonia,6,R3,,,
104,LA ZOPILOTERA,LA ZOPILOTERA,COMAYAGÜELA,Barrio/Colonia,6,R3,,,
105,LEMPIRA,LEMPIRA,COMAYAGÜELA,Barrio/Colonia,6,CH/R4,,,
106,OBELISCO,OBELISCO,COMAYAGÜELA,Barrio/Colonia,6,CH,,,
107,PERPETUO SOCORRO,PERPETUO SOCORRO,COMAYAGÜELA,Barrio/Colonia,6,R3,,,
108,RODRIGUEZ,RODRIGUEZ,COMAYAGÜELA,Barrio/Colonia,6,R3,,,
109,SIPILE,SIPILE,COMAYAGÜELA,Barrio/Colonia,6,CH/R4,,,
110,VILLA ADELA,VILLA ADELA,COMAYAGÜELA,Barrio/Colonia,6,R3,,,
111,14 DE FEBRERO,14 DE FEBRERO,COMAYAGÜELA,Barrio/Colonia,7,R4,1994,"PLANO BAJO REGISTRO No. 474 DE FECHA
19 DE COTUBRE DE 1994 //PLANO BAJO REGISTRO No.
428 DE FECHA
08 DE DICIEMBRE DE",R4=85M²
112,ALEMANIA,ALEMANIA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
113,ALTOS DEL PEDREGALITO,ALTOS DEL PEDREGALITO,COMAYAGÜELA,Barrio/Colonia,7,R4,1986,"DICTAMEN No. GM-SMDC-030- 86 DE FECHA
23 DE ENERO
DE 1986 (DICTAMEN).",R4=45M²/3.5ML
114,AYESTAS,AYESTAS,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
115,BELEN,BELEN,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
116,BELLA VISTA,BELLA VISTA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
117,BRASILIA,BRASILIA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
118,"BRISAS DE LA
LAGUNA",BRISAS DE LA LAGUNA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
119,BRISAS DE OLANCHO,BRISAS DE OLANCHO,COMAYAGÜELA,Barrio/Colonia,7,R4,1998,"DICTAMEN NO.07-98 DE FECHA 25 DE
MARZO DE 1998
(PLANO).",R4=45M²/3.5ML
120,BUENAS NUEVAS,BUENAS NUEVAS,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
121,CAMPO CIELO 1,CAMPO CIELO 1,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
122,CAMPO CIELO 2,CAMPO CIELO 2,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
123,CAMPO CIELO 3,CAMPO CIELO 3,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
124,CAÑADA,CAÑADA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
125,CASANDRA,CASANDRA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
126,COFRADIA,COFRADIA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
127,COL 3 DE MAYO,COL 3 DE MAYO,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
128,COL MELGAR,COL MELGAR,COMAYAGÜELA,Barrio/Colonia,7,R4,1989,"DICTAMEN No. DM-AMDC-056- 89 DE FECHA
26 DE ABRIL DE
1989 (DICTAMEN).",R4=45M²/3.5ML
129,COL SAN CRISTOBAL,COL SAN CRISTOBAL,COMAYAGÜELA,Barrio/Colonia,7,R4,1992,"DICTAMEN No.011-AMDC - DGL 92 DE
FECHA 6 DE OCTUBRE DE 1992
(DICTAMEN).",R4=45M²/3.5ML
130,DULCE NOMBRE DE JESUS,DULCE NOMBRE DE JESUS,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
131,"EL BERRINCHE
(PLANES)",EL BERRINCHE (PLANES),TEGUCIGALPA,Barrio/Colonia,7,R3,,,
132,EL CARRIZAL NO.2,EL CARRIZAL NO.2,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
133,EL CHILE,EL CHILE,TEGUCIGALPA,Barrio/Colonia,7,R3,,,
134,EL PASTEL,EL PASTEL,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
135,EL PORVENIR,EL PORVENIR,TEGUCIGALPA,Barrio/Colonia,7,R3,,,
136,EL ROSARIO,EL ROSARIO,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
137,FLOR # 1,FLOR # 1,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
138,FLOR # 2,FLOR # 2,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
139,FRATERNIDAD PESPIRENSE,FRATERNIDAD PESPIRENSE,COMAYAGÜELA,Barrio/Colonia,7,R4,2016,"DICTAMEN No. 16-039-GCC- AMDC DE FECHA 29 DE ABRIL DEL 2016. (PLANO Y
DOCUMENTO).",R4=45M²/3.5ML
140,FUERZAS ARMADAS,FUERZAS ARMADAS,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
141,GRANADA,GRANADA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
142,GUAMILITO,GUAMILITO,COMAYAGÜELA,Barrio/Colonia,7,R4,2004,"DICTAMEN No. SCU-DM-AMDC 060-2004 DE
FECHA 30 DE NOVIEMBRE
DEL 2004 (DICTAMEN).",R4=45M²/3.5ML
143,IBERIA,IBERIA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
144,INDEPENDENCIA,INDEPENDENCIA,COMAYAGÜELA,Barrio/Colonia,7,R4,2004,"DICTAMEN No. SCU/DM/AMDC 040-2004 DE
FECHA 13 DE AGOSTO DEL 2004 (PLANO Y DICTAMEN).",R4=45M²/3.5ML
145,LA CIDRA,LA CIDRA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
146,LA ESPERANZA,LA ESPERANZA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
147,LA HAYA,LA HAYA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
148,LA LAGUNA,LA LAGUNA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
149,LA SOTO,LA SOTO,TEGUCIGALPA,Barrio/Colonia,7,R3,,,
150,LAS CRUCITAS,LAS CRUCITAS,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
151,LAS MERCEDES,LAS MERCEDES,COMAYAGÜELA,Barrio/Colonia,7,R4,1974,"ACUERDO 59
EN FECHA 19
DE FEBRERO DE 1974",R4=45M²/3.5ML
152,LAS PAVAS,LAS PAVAS,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
153,LOS PROFESORES,LOS PROFESORES,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
154,MANANTIAL,MANANTIAL,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
155,MI CASITA,MI CASITA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
156,MONSEÑOR FIALLOS,MONSEÑOR FIALLOS,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
157,NUEVO AMANECER,NUEVO AMANECER,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
158,OBRERA,OBRERA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
159,PEDREGALITO,PEDREGALITO,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
160,"PLANES DEL BERRINCHE O
COLONIA SOTO",PLANES DEL BERRINCHE O COLONIA SOTO,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
161,"PLANES DEL
CARRIZAL",PLANES DEL CARRIZAL,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
162,POLICARPO PAZ GARCIA,POLICARPO PAZ GARCIA,COMAYAGÜELA,Barrio/Colonia,7,R4,1981,"DICTAMEN No. 340-81 DE
FECHA 25 DE NOVIEMBRE DE 1981
(DICTAMEN).",R4=45M²/3.5ML
163,RAFAEL LEONARDO CALLEJAS,RAFAEL LEONARDO CALLEJAS,COMAYAGÜELA,Barrio/Colonia,7,R4,2003,"DICTAMEN No. SCU-DM-AMDC- 046-2003 DE
FECHA 22 DE SEPTIEMBRE DEL 2003
(DICTAMEN).",R4=45M²/3.5ML
164,ROSALINDA,ROSALINDA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
165,SAN CRISTOBAL,SAN CRISTOBAL,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
166,SAN JUAN DE PUNTARENAS,SAN JUAN DE PUNTARENAS,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
167,SAN JUAN DEL NORTE,SAN JUAN DEL NORTE,COMAYAGÜELA,Barrio/Colonia,7,R4,2005,"REGISTRADO BAJO DICTAMEN No.
SCU/DM/AMDC No. 076/2005 DE FECHA 27 DE NOVIEMBRE
DEL 2005.",R4=45M²/3.5ML
168,SAN MARTIN,SAN MARTIN,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
169,SANTA FE,SANTA FE,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
170,SANTA ISABEL,SANTA ISABEL,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
171,TIBURCIO CARIAS ANDINO,TIBURCIO CARIAS ANDINO,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
172,TOROCAGUA,TOROCAGUA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
173,VILLA FRANCA,VILLA FRANCA,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
174,VILLA UNION,VILLA UNION,COMAYAGÜELA,Barrio/Colonia,7,R4,1982,"ACUERDO No. 0121 EN FECHA
04 DE
OCTUBRE DE 1982",R4=45M²/3.5ML
175,VILLA CRISTINA,VILLA CRISTINA,COMAYAGÜELA,Barrio/Colonia,7,R4,2008,"DICTAMEN GM- ATP-54-2008 DE FECHA 29 DE
MAYO DEL 2008 (PLANO Y
DICTAMEN).",R4=45M²/3.5ML
176,ZAPOTE,ZAPOTE,COMAYAGÜELA,Barrio/Colonia,7,R3,,,
177,ZAPOTE CENTRO,ZAPOTE CENTRO,COMAYAGÜELA,Barrio/Colonia,7,R4,2003,"DICTAMEN No. SCU/DM/AMDC
/039/2003 DE FECHA 07 DE GOSTO DEL 2003 (PLANO Y
DICTAMEN).",R4=45M²/3.5ML
178,ZAPOTE NORTE,ZAPOTE NORTE,COMAYAGÜELA,Barrio/Colonia,7,R4,,"ACUERDO No.852 DE FECHA 01 DE
AGOSTO DE",R4=45M²/3.5ML
179,BARRIO VIERA,BARRIO VIERA,TEGUCIGALPA,Barrio/Colonia,8,R3,,,
180,BRISAS DEL PICACHO/MINA DE AGUA,BRISAS DEL PICACHO/MINA DE AGUA,TEGUCIGALPA,Barrio/Colonia,8,R3,,,
181,CANTERA,CANTERA,TEGUCIGALPA,Barrio/Colonia,8,HATILLO,,,
182,CANTERA 1,CANTERA 1,TEGUCIGALPA,Barrio/Colonia,8,R3,,,
183,CANTERA 2,CANTERA 2,TEGUCIGALPA,Barrio/Colonia,8,R3,,,
184,CANTERA 3,CANTERA 3,TEGUCIGALPA,Barrio/Colonia,8,R3,,,
185,CERRO EL PICACHO,CERRO EL PICACHO,TEGUCIGALPA,Barrio/Colonia,8,AR,,,
186,CERRO GRANDE ZONA 4 Y ZONA 5,CERRO GRANDE ZONA 4 Y ZONA 5,TEGUCIGALPA,Barrio/Colonia,8,R2,1980,"ACUERDO 2564
DE FECHA 30 DE JUNIO DE
1980",R2=150M²/10ML
187,CERRO GRANDE ZONA 2 Y ZONA 6,CERRO GRANDE ZONA 2 Y ZONA 6,TEGUCIGALPA,Barrio/Colonia,8,R-4,1980,"ACUERDO 2564
DE FECHA 30 DE JUNIO DE 1980",R4 = 60 M² / 6ML
188,CERRO GRANDE ZONA 7,CERRO GRANDE ZONA 7,TEGUCIGALPA,Barrio/Colonia,8,R-3,1980,"ACUERDO 2564
DE FECHA 30
DE JUNIO DE 1980",R3= 100 M² / 8ML
189,CERRO GRANDE ZONA 8,CERRO GRANDE ZONA 8,TEGUCIGALPA,Barrio/Colonia,8,R4,2009,"CERRO GRANDE ZONA 8 SEGUNDA ETAPA PARTE ""A"" PLANO Y DOC. DICTAMEN 006-
2009 DE FECHA
27 DE ENERO
DEL 2009. CERRO GRANDE ZONA 8 SEGUNDA ETAPA PARTE""B"" PLANO Y DOC. DICTAMEN 010-
2009 DE FECHA
30 DE ENERO
DEL 2009.",R4=75 M² / 6 ML
190,"CERRO GRANDE, ZONA 1","CERRO GRANDE, ZONA 1",TEGUCIGALPA,Barrio/Colonia,8,R1,1980,"ACUERDO 2564
DE FECHA 30 DE JUNIO DE 1980",R1=400M²/15ML
191,"CERRO GRANDE, ZONA 3","CERRO GRANDE, ZONA 3",TEGUCIGALPA,Barrio/Colonia,8,R4,2005,"DICTAMEN SCU-AMDC- 050-2005 DE
FECHA   27 DE JULIO DEL 2005. (PLANO Y DICTAMEN)",R4=75M²/7ML
192,EL JAPON,EL JAPON,TEGUCIGALPA,Barrio/Colonia,8,R3,,,
193,ESTRELLA,ESTRELLA,TEGUCIGALPA,Barrio/Colonia,8,R3,,,
194,FLORESTA DEL PICACHO,FLORESTA DEL PICACHO,TEGUCIGALPA,Barrio/Colonia,8,HATILLO,2008,"DICTAMEN No. GM-ATP 089-
2008 DE FECHA
28 DE JULIO",R1=400M²/15ML
195,LA FINCA,LA FINCA,TEGUCIGALPA,Barrio/Colonia,8,R3,,,
196,LAS CRUCITAS,LAS CRUCITAS,TEGUCIGALPA,Barrio/Colonia,8,HATILLO,,,
197,LAS CRUCITAS #2,LAS CRUCITAS #2,TEGUCIGALPA,Barrio/Colonia,8,HATILLO,,,
198,"LOTIFICACION
CANTERO",LOTIFICACION CANTERO,TEGUCIGALPA,Barrio/Colonia,8,HATILLO,,,
199,"PARQUE NACIONAL
ONU",PARQUE NACIONAL ONU,TEGUCIGALPA,Barrio/Colonia,8,AR,,,
200,PICACHITO,PICACHITO,TEGUCIGALPA,Barrio/Colonia,8,R3,,,
201,PROYECTO KASANDRA,PROYECTO KASANDRA,TEGUCIGALPA,Barrio/Colonia,8,R4,1996,"DICTAMEN No SCU-DM-AMDC 002-96 DE
FECHA 8 DE FEBRERO DE 1996
(DICTAMEN).",R4=45M²/3.5ML
202,RODIMIRO ZELAYA,RODIMIRO ZELAYA,TEGUCIGALPA,Barrio/Colonia,8,R3,,,
203,SAGASTUME,SAGASTUME,TEGUCIGALPA,Barrio/Colonia,8,R3,,,
204,SAUCIQUE,SAUCIQUE,TEGUCIGALPA,Barrio/Colonia,8,R3,,,
205,VISBELLA (CERRO GRANDE ZONA 8),VISBELLA (CERRO GRANDE ZONA 8),TEGUCIGALPA,Barrio/Colonia,8,R3,2012,"DICTAMEN No. 12-0061-AMDC- GCC DE FECHA 24 DE SEPTIEMBRE DEL 2012 (PLANO Y
DICTAMEN).",R3=120M²/7ML
